cmp625, 5, BruteForce, 1000, 0.0115, phoenix
cmp625, 5, Hybrid_5, 1000, 0.0006, phoenix
cmp625, 5, Hybrid_10, 1000, 0.0005, phoenix
cmp625, 5, Hybrid_20, 1000, 0.0005, phoenix
cmp625, 5, Hybrid_30, 1000, 0.0006, phoenix
cmp625, 5, Hybrid_50, 1000, 0.0007, phoenix
cmp625, 5, Hybrid_100, 1000, 0.0009, phoenix
cmp625, 5, Hybrid_500, 1000, 0.0041, phoenix
cmp625, 5, Hybrid_1000, 1000, 0.0109, phoenix
cmp625, 5, Hybrid_5000, 1000, 0.0109, phoenix
cmp625, 5, NativeSorted, 1000, 0.0001, phoenix
cmp625, 5, BruteForce, 2000, 0.0461, phoenix
cmp625, 5, Hybrid_5, 2000, 0.0013, phoenix
cmp625, 5, Hybrid_10, 2000, 0.0012, phoenix
cmp625, 5, Hybrid_20, 2000, 0.0012, phoenix
cmp625, 5, Hybrid_30, 2000, 0.0013, phoenix
cmp625, 5, Hybrid_50, 2000, 0.0015, phoenix
cmp625, 5, Hybrid_100, 2000, 0.0021, phoenix
cmp625, 5, Hybrid_500, 2000, 0.0078, phoenix
cmp625, 5, Hybrid_1000, 2000, 0.0152, phoenix
cmp625, 5, Hybrid_5000, 2000, 0.0438, phoenix
cmp625, 5, NativeSorted, 2000, 0.0002, phoenix
cmp625, 5, BruteForce, 5000, 0.2988, phoenix
cmp625, 5, Hybrid_5, 5000, 0.0038, phoenix
cmp625, 5, Hybrid_10, 5000, 0.0036, phoenix
cmp625, 5, Hybrid_20, 5000, 0.0036, phoenix
cmp625, 5, Hybrid_30, 5000, 0.0038, phoenix
cmp625, 5, Hybrid_50, 5000, 0.0044, phoenix
cmp625, 5, Hybrid_100, 5000, 0.0059, phoenix
cmp625, 5, Hybrid_500, 5000, 0.0216, phoenix
cmp625, 5, Hybrid_1000, 5000, 0.0346, phoenix
cmp625, 5, Hybrid_5000, 5000, 0.2851, phoenix
cmp625, 5, NativeSorted, 5000, 0.0005, phoenix
cmp625, 5, BruteForce, 10000, 1.2099, phoenix
cmp625, 5, Hybrid_5, 10000, 0.0081, phoenix
cmp625, 5, Hybrid_10, 10000, 0.0078, phoenix
cmp625, 5, Hybrid_20, 10000, 0.0079, phoenix
cmp625, 5, Hybrid_30, 10000, 0.0082, phoenix
cmp625, 5, Hybrid_50, 10000, 0.0092, phoenix
cmp625, 5, Hybrid_100, 10000, 0.0127, phoenix
cmp625, 5, Hybrid_500, 10000, 0.0431, phoenix
cmp625, 5, Hybrid_1000, 10000, 0.0689, phoenix
cmp625, 5, Hybrid_5000, 10000, 0.3257, phoenix
cmp625, 5, NativeSorted, 10000, 0.0011, phoenix
cmp625, 5, BruteForce, 50000, 31.2298, phoenix
cmp625, 5, Hybrid_5, 50000, 0.0498, phoenix
cmp625, 5, Hybrid_10, 50000, 0.0481, phoenix
cmp625, 5, Hybrid_20, 50000, 0.0483, phoenix
cmp625, 5, Hybrid_30, 50000, 0.0504, phoenix
cmp625, 5, Hybrid_50, 50000, 0.0556, phoenix
cmp625, 5, Hybrid_100, 50000, 0.0716, phoenix
cmp625, 5, Hybrid_500, 50000, 0.2149, phoenix
cmp625, 5, Hybrid_1000, 50000, 0.4151, phoenix
cmp625, 5, Hybrid_5000, 50000, 1.8465, phoenix
cmp625, 5, NativeSorted, 50000, 0.0068, phoenix
cmp625, 5, BruteForce, 100000, 137.0595, phoenix
cmp625, 5, Hybrid_5, 100000, 0.1011, phoenix
cmp625, 5, Hybrid_10, 100000, 0.0977, phoenix
cmp625, 5, Hybrid_20, 100000, 0.0982, phoenix
cmp625, 5, Hybrid_30, 100000, 0.1021, phoenix
cmp625, 5, Hybrid_50, 100000, 0.1126, phoenix
cmp625, 5, Hybrid_100, 100000, 0.1452, phoenix
cmp625, 5, Hybrid_500, 100000, 0.4439, phoenix
cmp625, 5, Hybrid_1000, 100000, 0.8051, phoenix
cmp625, 5, Hybrid_5000, 100000, 4.0095, phoenix
cmp625, 5, NativeSorted, 100000, 0.0148, phoenix
cmp625, 5, BruteForce, 500000, 3641.2375, phoenix
cmp625, 5, Hybrid_5, 500000, 0.5795, phoenix
cmp625, 5, Hybrid_10, 500000, 0.5610, phoenix
cmp625, 5, Hybrid_20, 500000, 0.5632, phoenix
cmp625, 5, Hybrid_30, 500000, 0.5813, phoenix
cmp625, 5, Hybrid_50, 500000, 0.6331, phoenix
cmp625, 5, Hybrid_100, 500000, 0.7917, phoenix
cmp625, 5, Hybrid_500, 500000, 2.2573, phoenix
cmp625, 5, Hybrid_1000, 500000, 4.1321, phoenix
cmp625, 5, Hybrid_5000, 500000, 20.0856, phoenix
cmp625, 5, NativeSorted, 500000, 0.0923, phoenix
cmp625, 5, BruteForce, 1000000, 20383.9823, phoenix
cmp625, 5, Hybrid_5, 1000000, 1.3884, phoenix
cmp625, 5, Hybrid_10, 1000000, 1.3520, phoenix
cmp625, 5, Hybrid_20, 1000000, 1.3517, phoenix
cmp625, 5, Hybrid_30, 1000000, 1.3891, phoenix
cmp625, 5, Hybrid_50, 1000000, 1.4972, phoenix
cmp625, 5, Hybrid_100, 1000000, 1.8247, phoenix
cmp625, 5, Hybrid_500, 1000000, 4.7556, phoenix
cmp625, 5, Hybrid_1000, 1000000, 8.6430, phoenix
cmp625, 5, Hybrid_5000, 1000000, 40.4905, phoenix
cmp625, 5, NativeSorted, 1000000, 0.2148, phoenix
cmp625, 6, BruteForce, 1000, 0.0117, phoenix
cmp625, 6, Hybrid_5, 1000, 0.0006, phoenix
cmp625, 6, Hybrid_10, 1000, 0.0006, phoenix
cmp625, 6, Hybrid_20, 1000, 0.0006, phoenix
cmp625, 6, Hybrid_30, 1000, 0.0006, phoenix
cmp625, 6, Hybrid_50, 1000, 0.0007, phoenix
cmp625, 6, Hybrid_100, 1000, 0.0012, phoenix
cmp625, 6, Hybrid_500, 1000, 0.0045, phoenix
cmp625, 6, Hybrid_1000, 1000, 0.0111, phoenix
cmp625, 6, Hybrid_5000, 1000, 0.0111, phoenix
