cmp625, 3, BruteForce, 1000000, 28463.2516, cei1
cmp625, 3, Hybrid_5, 1000000, 2.1682, cei1
cmp625, 3, Hybrid_10, 1000000, 2.1155, cei1
cmp625, 3, Hybrid_20, 1000000, 2.1289, cei1
cmp625, 3, Hybrid_30, 1000000, 2.1946, cei1
cmp625, 3, Hybrid_50, 1000000, 2.3784, cei1
cmp625, 3, Hybrid_100, 1000000, 2.9243, cei1
cmp625, 3, Hybrid_500, 1000000, 7.8902, cei1
cmp625, 3, Hybrid_1000, 1000000, 14.2480, cei1
cmp625, 3, Hybrid_5000, 1000000, 64.0670, cei1
cmp625, 3, NativeSorted, 1000000, 0.3097, cei1
cmp625, 4, BruteForce, 1000, 0.0193, cei1
cmp625, 4, Hybrid_5, 1000, 0.0010, cei1
cmp625, 4, Hybrid_10, 1000, 0.0009, cei1
cmp625, 4, Hybrid_20, 1000, 0.0009, cei1
cmp625, 4, Hybrid_30, 1000, 0.0010, cei1
cmp625, 4, Hybrid_50, 1000, 0.0012, cei1
cmp625, 4, Hybrid_100, 1000, 0.0016, cei1
cmp625, 4, Hybrid_500, 1000, 0.0053, cei1
cmp625, 4, Hybrid_1000, 1000, 0.0191, cei1
cmp625, 4, Hybrid_5000, 1000, 0.0188, cei1
cmp625, 4, NativeSorted, 1000, 0.0001, cei1
cmp625, 4, BruteForce, 2000, 0.0765, cei1
cmp625, 4, Hybrid_5, 2000, 0.0020, cei1
cmp625, 4, Hybrid_10, 2000, 0.0019, cei1
cmp625, 4, Hybrid_20, 2000, 0.0019, cei1
cmp625, 4, Hybrid_30, 2000, 0.0020, cei1
cmp625, 4, Hybrid_50, 2000, 0.0024, cei1
cmp625, 4, Hybrid_100, 2000, 0.0035, cei1
cmp625, 4, Hybrid_500, 2000, 0.0150, cei1
cmp625, 4, Hybrid_1000, 2000, 0.0175, cei1
cmp625, 4, Hybrid_5000, 2000, 0.0753, cei1
cmp625, 4, NativeSorted, 2000, 0.0003, cei1
cmp625, 4, BruteForce, 5000, 0.4839, cei1
cmp625, 4, Hybrid_5, 5000, 0.0062, cei1
cmp625, 4, Hybrid_10, 5000, 0.0060, cei1
cmp625, 4, Hybrid_20, 5000, 0.0061, cei1
cmp625, 4, Hybrid_30, 5000, 0.0064, cei1
cmp625, 4, Hybrid_50, 5000, 0.0074, cei1
